/single
/    best: 1.16
/    worst: 43.62
/
/mean of 3
/    current: 2.59
/    best: 2.59
/
/mean of 3
/    current: 2.59
/    best: 2.59
1. 6.26   lol  @U' R' F U' F U' F U2 R F' R'
2. 5.67   lol  @U' R U' R' U R' U2 F' U2 F' U2
3. 1.81   lol  @R' U' R U R' F' U2 R F U2 R
4. 5.38   lol  @U R U' R' U2 R' F R' F2 R U'
5. 7.91   lol  @R2 U2 R' U R' F' U2 R U R' U2
6. 5.13   lol  @F U2 R2 U' R' U R' U2 R U2 R'
7. 6.06   lol  @U R' F' U2 R' F R2 U2 R' U2 R'
8. 5.09   lol  @U2 R U' R' U2 R F2 R' F U' R
9. 5.84   lol  @R U2 R2 F R2 F' R' U R' U R'
10. 5.24   lol  @U2 R' U2 R U R' F R' U' R2 F'
11. 6.56   lol  @R U' F' U' R2 F U' F R' U' R
12. 5.68   lol  @R' F R' U2 F R2 F U' F R U'
13. 5.13   lol  @R' F' R U' R F U' F R' U' R
14. 9.91   lol  @R' U' F U2 R U2 R F' U' F' R2
15. 7.0   lol  @U2 R F U2 F' R U R' F R' U2
16. 8.94   lol  @R F' R2 U R F' R2 U2 F U2 R
17. 10.98   lol  @R' U2 F' U' R2 U2 R2 F U' R U'
18. 4.28   lol  @U R' U2 F R2 F' U2 R U2 R2 U'
19. 5.84   lol  @F' U' R U2 R' F R U2 R' U' R2
20. 5.44   lol  @U' R' U' F U' R U' R U2 R' U
21. 7.09   lol  @R' F2 U F' U2 F U2 R U2 R U2
22. 3.96   lol  @R' U2 R U2 R' F U F' R U' R
23. 6.38   lol  @R2 U R2 U' F' U' F' U' R2 U2 F
24. 2.56   lol  @U' R' U R' U' F R F' U' R2 U2
25. 4.17   lol  @R' U2 F U2 R U R' U2 R' F' U2
26. 5.58   lol  @U R U' R2 U' R U' F U' F U'
27. 5.09   lol  @R' U2 F' R2 U2 F U' F R U2 R
28. 4.62   lol  @R2 U2 R U' F U' R U2 R' U2 F
29. 4.03   lol  @U R U' R' F' R U' F U' F R
30. 5.74   lol  @R U' R2 F' R2 U2 R2 U2 F' R U'
31. 5.57   lol  @R' F R U2 R U R' F R2 U' R'
32. 9.19   lol  @F U' R U2 R U' R2 U2 F R2 U'
33. 6.6   lol  @R' F U2 R U2 R' U' R F' U2 R2
34. 6.39   lol  @R' F U R' U' F R2 U' F' R2 U
35. 7.29   lol  @U R' F' U2 F R2 U' R' F U2 F
36. 12.96   lol  @R2 U' R2 U2 F U' F' U' R F R
37. 6.39   lol  @U2 R U2 F' U' R2 U2 R U2 R2 F
38. 5.59   lol  @U2 R' F U R2 U R' U2 R U2 R'
39. 5.43   lol  @R' F2 R F' U F U' R2 U' R' U
40. 4.97   lol  @U R2 U' R2 F U2 R U2 R' U' R2
41. 4.77   lol  @F' U2 F U' F U2 R U' R' F' R
42. 5.54   lol  @R' F U' R2 F R2 U2 R' U R' F
43. 4.74   lol  @R' F R U' R' U' R F' U' R' U2
44. 6.19   lol  @R' F U R U R' F U2 R2 U2 R
45. 3.57   lol  @U' R' F' R U' R2 U2 F U' F' U'
46. 5.43   lol  @U R2 U' R2 U' F R2 U2 R' U2 R'
47. 4.34   lol  @R' F R U R U' R' U R' U2 F2
48. 5.14   lol  @U2 R U2 F' U' F' R2 U2 F R U
49. 9.97   lol  @R' F U2 R U R' F U2 R2 F' U2
50. 6.03   lol  @R' U' F' U' R2 U R U2 R2 U' R
51. 5.32   lol  @F R U2 R U' R2 U' F' U F R2
52. 5.12   lol  @R2 U' R' U R' U2 F' U' R2 U2 R'
53. 5.76   lol  @U R' U2 F U' R U2 R U2 R2 F
54. 6.22   lol  @U R' U F R U' R F' R2 U' R
55. 5.31   lol  @R U2 R2 U2 F' U2 F U' R2 U' F'
56. 9.37   lol  @U R' F2 U2 R U' R' F' U' R2 U2
57. 6.99   lol  @U2 R U' R2 F' U' F U2 F' U' F2
58. 3.62   lol  @U F R' F U2 F R2 U2 R' U2 R'
59. 6.66   lol  @U R' F R' U' F R U' F R U
60. 5.89   lol  @R' F R' U2 F R U R U' R' F
61. 6.47   lol  @R F U2 F U' F' R U R' U' R
62. 4.42   lol  @U R' U2 R' F R U' R U2 R' F
63. 4.14   lol  @U F R U R' U2 R U2 R' U' F2
64. 5.39   lol  @U' R2 F2 U R U' R U' R' U R'
65. 5.19   lol  @U F' U R2 F' U' R2 U' F U' R
66. 6.88   lol  @U2 R' U' R' U' F U' F U' R U'
67. 4.88   lol  @R' F U2 R' F U' R' F U2 F' R
68. 2.66   lol  @U' R F R U2 R' U' F2 U' R2 U'
69. 4.68   lol  @U2 R' U F R' U F U2 R U' R'
70. 5.49   lol  @U R' U2 F U R' U' R2 U2 R' U
71. 5.77   lol  @U2 F' R2 F U2 R' F U' R U' R'
72. 8.6   lol  @R U R' F R2 U' R U' R' U R'
73. 4.52   lol  @R' U2 R U R' U' R F' U F' U2
74. 5.78   lol  @R U' R2 F R2 F' U' R2 F2 R2 F'
75. 4.34   lol  @R F U R' U2 F R2 U' F' R' U
76. 5.04   lol  @R' U2 R' U2 F R F U2 R2 U' R2
77. 7.14   lol  @U' R' F U2 F' U2 F R' F U' F'
78. 6.23   lol  @U2 R' F U2 R' U' F R2 F R U2
79. 4.88   lol  @U R' U R' U' F' U2 F' U F U'
80. 5.63   lol  @U R U2 F' U' R' U' R U' R2 F2
81. 5.24   lol  @F' R' U R' F' R U' R U' F' U2
82. 5.36   lol  @R' U' R U' R2 U2 F U' R2 F' U'
83. 4.93   lol  @R U' R2 F U R U2 R2 U2 F2 U2
84. 4.22   lol  @R F' U2 R2 F R U' R2 U' R2 U'
85. 7.25   lol  @R' U2 R2 U' R' U2 R' U R F U2
86. 5.12   lol  @R' F U2 R2 U2 R2 F' R U' R F
87. 4.43   lol  @R' U' F U' R U R F' R2 U' R
88. 3.92   lol  @R' U' R2 F U' F U' R' U2 R U
89. 4.19   lol  @U' R' U R U' R2 U' F2 U' F' R
90. 4.22   lol  @R' F R F' R' U2 R' F' U2 R U'
91. 5.13   lol  @R U2 R' U' R2 U' F' R U2 R' U
92. 4.13   lol  @R' U2 R U2 F U2 F' R2 U' R2 U2
93. 5.38   lol  @U' R U' R' U R2 F U' F' R U'
94. 5.33   lol  @R F R2 U2 F U' R U2 R F' R'
95. 6.03   lol  @U2 R' U2 R U2 R U R' U' F2 R2
96. 6.29   lol  @F R2 U' R' U R' U R' U R2 U'
97. 5.55   lol  @R' F R F' U R U2 R U2 R' U2
98. 6.13   lol  @R F' U' R2 U F' U' F' R2 U' R'
99. 4.92   lol  @U' R' U' F' R' U' R U2 R U' R'
100. 5.83   lol  @U2 R F' R' U' R U2 R' U R' U
101. 5.99   lol  @U R F R U' F U' R2 U2 R' U2
102. 5.98   lol  @U R' U2 F R F' U2 F R U' R'
103. 4.53   lol  @R' U' R U2 R' U' R U' F' R' U
104. 4.93   lol  @R' U' R U' R F' R2 U R2 U R
105. 6.29   lol  @U' F U F' R U2 R' F U R U
106. 3.86   lol  @R U R' U' R2 U' R2 F R U' R'
107. 2.2   lol  @R' U' F U R U' R' U F' U' R2
108. 4.88   lol  @R' U' R U2 R2 F U' F U' F R
109. 5.21   lol  @U' R2 F U' F' U' F U2 F U' R2
110. 4.33   lol  @U' R' U2 R' F R F R U2 R U'
111. 6.03   lol  @R' U F' R U' R F U' F R U
112. 6.43   lol  @U2 R' F R U' R' F R F R' U'
113. 2.69   lol  @R' U2 F R U2 R2 U' F U2 F R2
114. 6.69   lol  @R' F' R U' R' U' R2 F' R2 F U'
115. 3.57   lol  @R U2 R2 F U' R' F R2 F' R' U2
116. 4.34   lol  @U R' U' F U' R U R U2 F U'
117. 5.43   lol  @U2 F' R2 F U' R U' R U' R2 F
118. 5.54   lol  @R' U F R U2 R' U R' F U F
119. 5.13   lol  @F U2 F R' U' F R U2 R U' R'
120. 3.98   lol  @R' U' F R2 F' R' F U2 R U R
121. 5.67   lol  @R' F R' F R U2 R' F' U' F U'
122. 5.08   lol  @F U R U R U' R' U R' F R
123. 5.18   lol  @R' U' R2 F U' F U' F' U2 F U'
124. 2.52   lol  @R' F' R U R' F2 U2 F R2 F' R2
125. 4.28   lol  @U' R' F U' R' U2 F U' R U F'
126. 2.86   lol  @U R U' R2 U R U' F R F' U2
127. 3.98   lol  @R' F' U2 F U2 F R2 F' U' R2 F
128. 4.88   lol  @U R' U' F2 R F R U' R U2 R'
129. 4.84   lol  @U R U2 R' F R2 U' R2 F' U' R
130. 4.53   lol  @F' U' F R2 F' R2 U' F R2 U' R'
131. 6.0   lol  @U2 R2 U R' F R2 U' F' U' R2 U'
132. 4.62   lol  @R' F U' F2 U' F U' R F U' R
133. 4.94   lol  @R U2 F' R' U R' U F U' R2 U'
134. 6.34   lol  @R F U' R' U R' F U' F U R
135. 4.62   lol  @U2 R' U' F U2 F U F' R U R
136. 6.8   lol  @R' F R2 U' R' U' F' U' F' U' R'
137. 4.84   lol  @R U2 R' U' R' F R U2 F' R' U'
138. 4.12   lol  @R' U F' R U' F U' R U' R' F
139. 5.88   lol  @R U R F' R2 U2 F R U' R' U'
140. 4.22   lol  @U' R2 F' R U2 R U' F' R2 U' F'
141. 7.24   lol  @R' U' R2 U R' F2 U2 R2 U' R2 F'
142. 5.23   lol  @F' R2 F U2 F U2 F R' U' R U'
143. 6.78   lol  @R' U2 F U' F2 U' F R U F U'
144. 3.47   lol  @U R' U R F' U' R' U2 R' U F'
145. 5.38   lol  @R' U' F R U2 R' U' F' U2 R F'
146. 5.65   lol  @R' U' R F' R U R' U R U2 R
147. 5.62   lol  @U' R' U F' R F' R' U' R' F R
148. 5.82   lol  @U' R' U2 R U2 R' U2 F' U2 R U'
149. 6.08   lol  @U R U' R' U2 F2 U' R' U2 R U
150. 7.64   lol  @U2 R' F R U R' U' R U' R' F
151. 4.63   lol  @R' F2 U' F' R U' R' U2 R U' R'
152. 7.44   lol  @U R F U2 F' U2 R U R U2 R2
153. 4.97   lol  @R' U F U2 F U' F R2 F' U' F'
154. 4.93   lol  @U' R' U F U2 R2 F' R' U' R' U
155. 4.28   lol  @R' F R2 F' U' R U' R' U R F'
156. 4.84   lol  @R' U' F R F' U2 R U2 R F' U2
157. 7.29   lol  @R' U2 R F' U2 F' U' R2 U2 F U
158. 5.58   lol  @U R F R U2 R U' R2 U2 R U2
159. 5.78   lol  @R U2 R' U' R2 F U2 R U R' F
160. 5.18   lol  @U' F R U R' U R' F2 R U' R'
161. 6.53   lol  @U R' F U R' U2 R U2 R' U' R2
162. 6.65   lol  @R' F' U2 F U' F U' F R U2 R2
163. 5.88   lol  @R' F' R2 U' R' U2 R U2 R2 F' U'
164. 5.68   lol  @R U' R2 U2 F U F U R' F R2
165. 3.47   lol  @U R F' R' U' R U' R U' F' R2
166. 8.39   lol  @R U2 F R U2 R U' R2 U2 F R'
167. 7.33   lol  @U2 R' F U2 R' U2 R U R' F U
168. 5.12   lol  @U R' U R U' R2 U' F' R U2 R'
169. 5.99   lol  @R' F' R F R2 U' R' U' R' F U'
170. 2.06   lol  @U R F' U' R' U' R F U2 R U'
171. 3.45   lol  @R' U2 F' U' F R2 U2 R' U R' U
172. 5.82   lol  @R U' R2 U R2 U' R' U' R' F R'
173. 8.79   lol  @R U2 F' R2 U2 F U2 F U2 R U2
174. 2.92   lol  @U' R U2 R' F R2 U' R' U F' R'
175. 5.07   lol  @R2 F' R U2 R' U2 F U' F R U2
176. 6.34   lol  @U R U' F' R2 U' R U' R' U F2
177. 5.93   lol  @U2 R' U2 R U R' F U R2 U' R
178. 7.4   lol  @U' F' R U R' F R U R2 F U2
179. 7.14   lol  @U' F U' F U' R2 U' R' U2 F' R'
180. 5.92   lol  @U2 R' U' R2 F R U R' F U2 R
181. 4.79   lol  @R U' R' U' R U2 R' F' R2 U2 F2
182. 5.54   lol  @R U2 R2 U' R' F' R U R' F2 R
183. 4.58   lol  @U' R' U R F R2 U2 R' U R F'
184. 3.94   lol  @R' U2 R U' R U2 F' U2 F' U2 R'
185. 3.75   lol  @R' U2 F U2 F R U R F' U' R
186. 6.58   lol  @U2 R F R' F2 U' R U' R U' R'
187. 5.23   lol  @R' F' U' R U F R U2 R U' R2
188. 4.88   lol  @U' R U' R' U2 R U2 R2 U' F R'
189. 5.53   lol  @F' U' R' U R2 F U2 F R U2 R'
