No.;Time;Comment;Scramble;Date;P.1
1;14.92;;D L B2 L F R2 F2 D B U2 L2 D R2 F2 B2 D' B2 U D R2;2020-10-23 15:03:47;14.92
2;13.45;;U F' B U' R2 L2 F D L R2 B R2 U2 F R2 F U2 F L2 B2;2020-10-24 08:05:52;13.45
3;14.32;;L2 B' R2 U R2 U' L2 U' F R2 F2 U2 R F2 L D2 B2 D2 F2 L' U2;2020-10-24 08:06:33;14.32
4;15.09;;L' U' R' U B2 D F L' D' R2 F2 U' F2 U B2 D2 R2 B2 D F2 L;2020-10-24 08:07:41;15.09
5;13.91;;R2 B D' R B' U2 D B R' B R2 L2 B' R2 F' D2 L2 F2 L2 B;2020-10-24 08:08:28;13.91
6;13.72;;F' U F' U2 F2 D L2 D' L2 U' B2 F2 U2 B D' L' D2 R' D2 F';2020-10-24 08:09:12;13.72
7;14.94;;U B' U L D2 L' F U2 R2 B2 D F2 L2 D' R2 B2 U F2 D2 R';2020-10-24 08:09:41;14.94
8;17.03;;B2 L2 U R D2 L B' R B L2 B D2 R2 F' D2 F' L2 F;2020-10-24 08:10:45;17.03
9;16.60;;D L' F2 D F' D2 R' L U B2 R2 L2 B R2 B' L2 B U2 F';2020-10-24 08:11:21;16.60
10;14.97;;D' B' D2 B' U R B L D' L2 D' R2 D2 B2 U L2 B2 L2 F2;2020-10-24 08:11:59;14.97
11;12.06;;D F R B2 R B U F2 R' B2 L' D2 B2 L D2 B2 L2 F2 L2 B' D;2020-10-24 08:12:32;12.06
12;12.87;;D2 L2 D' R2 U' F2 D B2 F2 U' B U2 L R2 D B R2 U R' F;2020-10-24 08:13:04;12.87
13;14.78;;R U R' B' U' D' B' L2 F L' B L2 D2 F' U2 B2 R2 B D2 L2 F';2020-10-24 08:13:35;14.78
14;13.16;;R' F2 L D2 F2 L U2 R2 U2 R' F U F D2 U2 B L D B';2020-10-24 08:14:27;13.16
15;12.40;;U2 F2 U F2 L2 U' R2 D' R2 U L2 F L' U L' F D2 R F D';2020-10-24 08:15:05;12.40
16;15.63;;D2 U L2 D' R2 F2 D2 B2 F2 L2 B D' L' F' R D' B2 F U' R;2020-10-24 08:16:03;15.63
17;16.45;;L2 B2 D2 R' B D F R' U F2 B2 U2 F2 R2 D' R2 D L2 D2 L;2020-10-24 08:16:36;16.45
18;14.79;;F2 D L2 F2 D F2 D F2 R2 B2 U B R2 F U L' F' R D' L';2020-10-24 08:17:09;14.79
19;13.21;;F D' F' U' R F' D F2 U R F2 D2 R' B2 L U2 F2 L U2 L2 U2;2020-10-24 08:17:41;13.21
20;14.11;;F2 R B D2 B R' B' D R2 L2 F2 D2 L2 D F2 D L2 B2 R' B2;2020-10-24 08:18:29;14.11
21;11.37;;B U' L2 B2 U2 R2 B2 D R2 B2 R' F U R2 B2 L2 B;2020-10-24 08:18:58;11.37
22;14.30;;L R2 B F2 U2 F R2 F' D2 L2 F' D2 F2 D R D F' U2 L' B2 F;2020-10-24 08:19:28;14.30
23;13.10;;D2 R' B D2 R' F2 L2 R B2 F2 R' B2 U2 R' D B' D B2 L F' D2;2020-10-24 08:20:01;13.10
24;15.08;;L' R2 D L2 B2 D' B2 D2 B2 R2 D F2 D' L' B L2 D' L' B' U' R2;2020-10-24 08:20:47;15.08
25;14.17;;L B2 U' F' L2 F D' U2 R U2 L2 U2 L D2 R F2 L' F2 D B';2020-10-24 08:21:22;14.17
26;13.48;;F2 U' R' U2 F2 L2 D L2 U L2 U' R2 D2 U' B F2 D F R D' F;2020-10-24 08:22:03;13.48
27;15.29;;F' U' D2 F2 L F2 R' F2 R2 D2 R' U' R' D B U B R' U;2020-10-24 08:23:47;15.29
28;14.66;;B L F2 D2 B2 D' F2 D' R2 F2 D' B2 U R D' U F R' U B' R2;2020-10-24 08:24:53;14.66
29;12.88;;D' B2 L2 R2 D R2 F2 U B2 D R2 B2 R U' F2 R2 F2 U' F L2;2020-10-24 08:25:34;12.88
30;12.73;;U' F2 D R2 F2 U' B2 D' F2 U2 R2 F' D B2 L B' L' R U' B';2020-10-24 08:26:12;12.73
31;14.13;;R' F R2 U' B2 L2 U R2 D F2 D B2 R2 D2 R' D2 B U2 L U R2;2020-10-24 08:26:48;14.13
32;16.92;;R D2 R2 U2 B2 U2 B U2 F' D2 F2 R2 L' D B' L R2 D F2;2020-10-24 08:27:19;16.92
33;15.79;;R2 F U F' D F U R2 F2 D2 F2 D2 R U2 L' F2 R F2 U' B2;2020-10-24 08:27:52;15.79
34;13.31;;R2 U F2 L2 F2 U' L2 D F2 D2 L2 F2 L B' U F2 L F U' B2 R';2020-10-24 08:28:42;13.31
35;17.71;;F' D' R2 U L D' L' F' D2 R2 B' U2 R2 B U2 B2 L2 F L2 R D2;2020-10-24 08:29:16;17.71
36;12.84;;U2 R U' D R B2 U R2 B' U2 R2 B' U2 D2 R2 U2 B' R2 B2 D;2020-10-24 08:29:47;12.84
37;15.17;;D' B F2 L' F2 L D2 L2 B2 L2 F2 L U B2 D B' D2 R2 D';2020-10-24 08:30:25;15.17
38;12.85;;D2 L D2 B2 D2 R2 U2 L' R2 U2 R2 B2 F' R' U2 B' D2 L' U B F';2020-10-24 08:30:54;12.85
39;12.89;;L' F2 D2 L' D2 L' B2 F2 D2 F2 L' U' B F D' L F2 R2 B2 D';2020-10-24 08:31:30;12.89
40;14.02;;R' D' B' U' R' B2 L' F R F2 R2 D2 F' D2 F2 L2 B' R2 B' D2 B;2020-10-24 08:32:13;14.02
41;17.46;;U2 B2 F2 U L2 B2 L2 D' R2 U2 B U2 L' D2 B U2 L' F U2 F U';2020-10-24 08:32:50;17.46
42;17.31;;F D2 F' L2 D2 B2 D' F2 D R2 F2 L2 U2 F R D' L2 F U';2020-10-24 08:33:26;17.31
43;14.39;;L2 B2 D2 F2 D2 R U2 F2 L U2 F2 L' U L2 B R D2 B2 F2 D L2;2020-10-24 08:34:49;14.39
44;14.39;;D F2 D L2 D B2 F2 U R2 F2 D2 R' D' L R B' D' B2 U F U';2020-10-24 08:35:28;14.39
45;14.53;;U2 L U2 L' R2 U2 R2 B2 F2 R' U' F' L' U' F R2 B U R' F';2020-10-24 08:36:09;14.53
46;14.52;;B2 D R2 F2 U L2 F2 U L2 F2 D L2 B R' B' D' L2 F2 L' U F;2020-10-24 08:37:15;14.52
47;15.06;;R2 U2 L' U2 F2 L2 F2 U2 R2 D2 R' B2 F U' R' F2 U L U' B R';2020-10-24 08:37:54;15.06
48;14.94;;F2 R B' F2 U2 L2 F2 R2 D' R2 F2 D2 R2 L' B' D L' B2 R' F;2020-10-24 08:38:20;14.94
49;14.20;;D L2 B2 F2 R2 D L2 U' F2 U' R2 F L R U L R B R D' U;2020-10-24 08:39:10;14.20
50;13.54;;F2 R2 F R2 F' R2 B2 L2 D2 F' R2 U2 L U F' R' D' F2 R' U' B';2020-10-24 08:40:04;13.54
51;15.66;;F2 L' R' B2 L' D2 B2 F2 R' U2 F L' D' L D2 L2 B U2 L';2020-10-24 08:41:18;15.66
52;12.66;;R D2 U' B2 F2 U' F2 D' B2 F2 L2 R' D' U' F2 R B' D' B2 L';2020-10-24 08:42:17;12.66
53;16.06;;U2 R L2 B2 L2 U2 B2 U F2 D L2 B2 U2 R F U' L' F2 U L U2;2020-10-24 08:42:50;16.06
54;12.93;;U2 R2 F2 L F2 U2 R2 U2 R' D' F R' B2 U2 R D L D;2020-10-24 08:43:22;12.93
55;10.22;;B' U L2 R2 U' L2 U L2 U2 L2 F2 U' L2 F' U R2 B' L D U F2;2020-10-24 08:43:49;10.22
56;13.09;;U2 L2 D2 R2 F' L2 D2 B F U2 F' R D F R' F2 D' R2 U';2020-10-24 08:44:29;13.09
57;13.72;;R' B F2 R2 U2 R2 D B2 D F2 D' U2 L' U2 B' U2 F' D2 R2;2020-10-24 08:45:04;13.72
58;9.79;;B2 L F2 R2 U R2 B2 F2 D' F2 L2 U' R2 U L' F R B' R U' L';2020-10-24 08:45:38;9.79
59;13.18;;U2 L2 B D2 F U2 R2 U2 L2 F U2 L D' U B D' L' B' R' F R2;2020-10-24 08:46:08;13.18
